Problem Link,Level/Tags,Solution/Approaches,Topic Tags,Comments
https://leetcode.com/problems/count-equal-and-divisible-pairs-in-an-array/,Easy,,,
https://leetcode.com/problems/reverse-linked-list/,Easy,,,Do it using recursion.
https://leetcode.com/problems/middle-of-the-linked-list/,Easy,,,
https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,,,Find the length of ll using slow and fast pointers.
https://leetcode.com/problems/add-two-numbers/,Medium,,,
https://leetcode.com/problems/delete-node-in-a-linked-list/,Easy,,,
https://leetcode.com/problems/palindrome-linked-list/,Easy,,,
https://leetcode.com/problems/linked-list-cycle/,Easy,,,
https://leetcode.com/problems/intersection-of-two-linked-lists/submissions/,Easy,,,
https://leetcode.com/problems/linked-list-cycle-ii/,Easy,,,
https://workat.tech/problem-solving/practice/max-consecutive-ones,,,,
https://workat.tech/problem-solving/practice/two-sum,,,Arrays/Hashmaps/Dictionary,
https://workat.tech/problem-solving/practice/search-range,,,Arrays ,
https://practice.geeksforgeeks.org/problems/print-a-binary-tree-in-vertical-order/0,Medium,,BT,
https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1,Medium,,BT,
https://practice.geeksforgeeks.org/problems/right-view-of-binary-tree/1,Easy,,BT,
https://practice.geeksforgeeks.org/problems/left-view-of-binary-tree/1,Easy,,BT,
https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1,Medium,,BT,
https://practice.geeksforgeeks.org/problems/zigzag-tree-traversal/1,Easy,,BT,
https://practice.geeksforgeeks.org/problems/flatten-binary-tree-to-linked-list/1,Hard,,BT,
https://practice.geeksforgeeks.org/problems/implementing-ceil-in-bst/1,Medium,,BST,
https://practice.geeksforgeeks.org/problems/longest-common-subsequence-1587115620/1,Medium,,DP,
https://practice.geeksforgeeks.org/problems/shortest-common-supersequence0322/1,Medium,,DP,
https://practice.geeksforgeeks.org/problems/minimum-number-of-deletions-and-insertions0209/1,Easy,,DP,
https://practice.geeksforgeeks.org/problems/longest-palindromic-subsequence-1612327878/1,Medium,,DP,
https://practice.geeksforgeeks.org/problems/minimum-number-of-deletions4610/1,Easy,,DP,
https://practice.geeksforgeeks.org/problems/longest-repeating-subsequence2004/1,Easy,,DP,
https://practice.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-binary-tree/0,Medium,,BT,
https://practice.geeksforgeeks.org/problems/inorder-traversal-iterative/0,Medium,,BT,
https://practice.geeksforgeeks.org/problems/postorder-traversal-iterative/0,Medium,,BT,
https://practice.geeksforgeeks.org/problems/preorder-traversal-iterative/0,Medium,,BT,
,,,,
,,,,
https://www.geeksforgeeks.org/minimum-number-operation-required-convert-number-x-y/,Medium,,BFS/bitwise,Bitwise pending
https://www.geeksforgeeks.org/reverse-stack-without-using-extra-space/,Easy,,,recursion pending
https://www.geeksforgeeks.org/nearly-sorted-algorithm/,,,,
https://practice.geeksforgeeks.org/problems/find-the-number-of-islands/1,Medium,,,
https://leetcode.com/problems/race-car/,Hard,,BFS/DP,
,,,,
https://www.geeksforgeeks.org/amazon-interview-questions/?ref=lbp,,,,
https://www.geeksforgeeks.org/amazons-most-frequently-asked-interview-questions-set-2/,,,,
https://www.geeksforgeeks.org/tag/amazon/,Very Important,,,
https://www.geeksforgeeks.org/amazon-interview-preparation/,,,,
,,,,
,,,,
MUST DO....,,,,
,,,,
Rat maze,done,,,
Sudoku Solver,,,,
Flattening a BT into LL,,,,
"Views[Top, bottom, left, right, vertical]",,,,
"Inorder, preorder, postorder -> recursion + non recursion",,,,
,,,,
sliding window,,,,
dp,,,,
trees by striver,,,,
Cycle Detection in Graph,,,,
PYQs.....,,,,
,,,,
,,,,
https://www.geeksforgeeks.org/minimum-number-operation-required-convert-number-x-y/,,,,
https://www.geeksforgeeks.org/reverse-stack-without-using-extra-space/,,,,
https://www.geeksforgeeks.org/nearly-sorted-algorithm/,,,,
https://practice.geeksforgeeks.org/problems/minimum-platforms-1587115620/1,,,,
https://practice.geeksforgeeks.org/problems/find-the-number-of-islands/1,,,,
https://leetcode.com/problems/race-car/,,,,
https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/,,,,
https://www.geeksforgeeks.org/boundary-traversal-of-binary-tree/,,,,
https://www.geeksforgeeks.org/symmetric-tree-tree-which-is-mirror-image-of-itself/,,,,
https://www.geeksforgeeks.org/median-of-two-sorted-arrays-of-different-sizes/,,,,
https://leetcode.com/problems/add-two-numbers/,,,,
https://www.geeksforgeeks.org/sliding-window-maximum-maximum-of-all-subarrays-of-size-k/,,,,
KMP String Matching algo,,,,
https://www.geeksforgeeks.org/find-maximum-possible-stolen-value-houses/,,,,
https://www.geeksforgeeks.org/check-if-a-binary-tree-is-subtree-of-another-binary-tree/,,,,
https://www.geeksforgeeks.org/find-k-numbers-occurrences-given-array/,,,,
https://www.geeksforgeeks.org/unique-paths-in-a-grid-with-obstacles/,,,,
https://www.geeksforgeeks.org/clone-linked-list-next-random-pointer-o1-space/,,,,
https://leetcode.com/problems/edit-distance/,,,,
https://leetcode.com/problems/word-break-ii/,,,,
Implement minStack using one stack,,,,
finding a cycle in a directed graph.,,,,
Find the longest palindrome that can be built by using characters of a given string.,,,,
Implement a queue using two stacks.,,,,
LC,,,,
https://leetcode.com/problems/next-greater-element-iii/,,,,
https://leetcode.com/problems/h-index-ii/,,,,
https://leetcode.com/problems/add-strings/,,,,
https://leetcode.com/problems/kth-largest-element-in-an-array/,,,,
Given 2 integers n and k return the number of strings containing lower case letters only such that k equal elements dont appear together.,,,,
You have n tasks taking time = time[i] and cost = cost[i].,,,,
You have a senior who will work for free only when you're busy with some,,,,
task and will take 1 unit time to complete any task. Find the min cost.,,,,
https://leetcode.com/problems/merge-sorted-array/,,,,
https://leetcode.com/problems/evaluate-reverse-polish-notation/,,,,
https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,,,,
https://leetcode.com/problems/maximum-number-of-eaten-apples/,,,,
https://leetcode.com/problems/adding-spaces-to-a-string/,,,,
https://leetcode.com/problems/valid-parentheses/,,,,
Flatten Binary Tree to Linked List,,,,